,city,latitude,longitude,attacktype,targtype,targsubtype,target,weaptype,weapsubtype,gname,Month,Day,Year
54,Safa Pora,34.238199,74.660068,2036,313,77,"Indian Army troops in Safapura, India",2121,265,1414,10,23,1998
55,Patacharkuchi,26.51313,91.257351,1514,786,433,"Indian police officers in Patacharkuchi, India",1813,1564,8,11,7,1998
56,Srinagar,34.083658,74.797368,2036,66,221,"Hazratbal Shrine, in Srinagar",2121,533,1414,11,19,1998
57,Anantnag,33.733336,75.148983,2036,786,164,"Police Station in Anantnag, India",2121,533,1414,11,21,1998
58,Sriguhphara,33.816087,75.213843,2036,786,171,"Two Indian patrol jeeps in Sriguhphara,  India",2121,265,1414,11,24,1998
59,Tinsukia district,27.491929,95.347833,2036,47,14,"Diesel pipeline between the Digboi oil refinery and Tinsukia, India",2121,674,238,11,26,1998
60,Moranhat,27.178162,94.916653,1514,786,433,"Central Industrial Security Force in Moranhat, India",1813,1564,238,11,27,1998
61,Nalli,27.442264,94.258405,2036,47,14,"Oil pipeline near Nalli, India",2121,674,238,11,27,1998
62,Darrang District,26.459018,92.024804,2036,368,43,"Major bridge in Darrang District, India",2121,674,238,11,27,1998
63,New Delhi,28.632381,77.220004,200,876,296,Chief Minister Prafulla Kumar Mahanta,2121,75,1414,12,18,1998
64,Guwahati,26.179222,91.753346,2036,786,433,"Policemen in Guwahati, India",2121,80,238,12,20,1998
65,Pattan,34.16047,74.555116,2036,786,164,"Police complex in Pattan, India",2121,43,1414,1,4,1999
66,Manoharpur,22.232255,83.685368,1514,1538,48,"Christian Missionary and his two sons in Manoharpur, India",382,329,5,1,23,1999
67,Allahabad,25.435801,81.846311,33,66,19,"Five Christian missionaries at a Hindu pilgrimage site in Allahabad, India",243,30,5,1,25,1999
68,Narayanpur,19.760181,78.705045,1514,1538,447,"Naxalite (Maoist guerrilla) sympathizers in Narayanpur, India",1813,1564,2,2,11,1999
69,Tuilaphai,24.340933,93.587597,1514,313,77,"Army soldiers traveling to Tuilaphai, India",1813,1564,1414,2,13,1999
70,Bhimpura,25.077604,84.914752,1514,1538,15,"Farmers in in Bhimpura, India",1813,1564,1,3,3,1999
71,Kurmol,24.663717,93.906269,1514,313,86,"Indian Army patrol near Kurmol, in Chandel District, India",1813,1564,1414,3,3,1999
72,Haflong,25.163535,93.01364,1514,786,433,"Four Central Reserve Police Force personnel in Haflong, India",1813,1564,92,3,13,1999
73,Sinari,25.096074,85.313119,1514,1538,447,"Civilians in Sinari, India",1813,180,24,3,18,1999
74,Unknown,23.164543,92.937574,1514,786,433,"Police in Mizoram, India",1813,180,33,3,24,1999
75,Attamohanpara,23.940848,91.988153,592,1538,447,"Three civilians in Attamohanpara, India",1813,1564,1414,3,27,1999
76,Udhampur district,32.925224,75.135264,2036,313,63,Badan Camp,1813,180,100,4,1,1999
77,Rajouri,33.371715,74.315313,2036,1538,447,Civilians and property in Rajauri,2121,674,1414,4,20,1999
78,Dadsara,33.904299,75.08549,200,876,315,"Ghulam Hassan Bhat, a leader of the National Conference; Sheeraz Ahmad Bhat, Ghulam's son",1813,180,88,5,5,1999
79,Lasana,33.702222,74.218611,1514,786,433,Two Special Operation Group (SOG) Constables,1813,1564,1414,5,10,1999
80,Guwahati,26.179222,91.753346,1514,786,433,An Indian police group moving between Hathikulai and Guwahati,1813,1564,238,5,11,1999
81,Kargil District,34.553852,76.134894,1514,313,77,Indian Army troops stationed in Kargil District,1813,180,92,5,12,1999
82,Kupwara District,34.526179,74.254614,200,876,315,Abdul Ahad Kar,1813,1564,1414,5,15,1999
83,Velpur,16.149549,79.862011,2036,786,164,Two police stations located in the town of Velpur,2121,80,61,5,24,1999
84,Chennai,13.08268,80.270718,2036,417,11,Victoria Hostel in Chennai,2121,674,92,5,30,1999
85,Chennai,13.08268,80.270718,2036,786,164,The Police Commissioner's office in the Egmore neighborhood of Chennai,2121,61,92,5,30,1999
86,Tiruchirappalli,10.815278,78.696389,2036,786,433,The Police Officers' Guest House on the Cantonment Police Station campus,2121,61,92,5,30,1999
87,Coimbatore,11.016845,76.955832,2036,786,164,The Police quarters under construction at Variety Hall Road in Coimbatore,2121,61,92,5,30,1999
88,Delhi,28.658188,77.227403,2036,786,164,Chandni Chowk Police Outpost,2121,61,1414,6,3,1999
89,Kangan,34.264018,74.901055,2036,313,77,Indian Army soldiers near Kangan,2121,265,1414,6,9,1999
90,Kupwara District,34.526179,74.254614,2036,786,433,Indian security personnel,2121,265,1414,6,12,1999
91,Srinagar,34.069832,74.809039,2036,1538,78,Ghanta Ghar Market at Lal Chowk in Srinagar,2121,533,1414,6,12,1999
92,Shiliguri,26.682957,88.443417,2036,1538,447,Civilians at the New Jalpaiguri railway station,2121,674,238,6,22,1999
93,Rajouri District,33.371715,74.315313,2036,313,77,Indian Army soldiers,2121,265,1414,6,26,1999
94,Dholabari,26.494608,91.678189,2036,786,171,Indian police vehicle in Dholabari,2121,75,238,6,28,1999
95,Mohra Bachai,33.653794,74.297154,127,1538,447,Civilians in Morabachai,371,403,92,6,28,1999
96,Sangam,33.827506,75.072066,1514,1538,266,Migrant workers from Madhya Pradesh,1813,1564,92,6,29,1999
97,Chandigarh,30.733315,76.779418,2036,1538,16,Parking Lot in Chandigarh,2121,674,92,6,30,1999
98,Surankot,33.639869,74.263416,1514,1538,48,"Relatives of the Hizbul Mujahideen's top four leaders in Surankot, India",1813,1564,1414,7,6,1999
99,Anantnag,33.733336,75.148983,1514,1538,266,"Hindu Laborers in in Anantnag, India",1813,1564,1414,7,7,1999
100,Poonch District,33.767001,74.092404,1514,1538,48,"Hindus in Poonch District, India",1813,1564,1414,7,8,1999
101,Madar,34.415556,74.656667,592,313,63,"A Campus of the Border Security Forces in Madar, India",2121,533,100,7,13,1999
102,Bandipora,34.419539,74.63827,1514,313,63,"A Campus of the Border Security Forces in Madar, India",1813,180,1414,7,13,1999
103,Budgam,34.021244,74.722282,1514,786,433,"District Police Lines in Badgam, India",2121,43,1414,7,18,1999
104,Lehota,33.778175,76.576171,1514,786,433,"Lihota Village Defense Committee Members in Lihota, India",1813,1564,88,7,19,1999
105,Mandi,33.795977,74.25388,1514,876,315,"Employees of the Border Roads Organization in Mandi, India",1813,180,88,7,19,1999
106,Baramulla,34.205141,74.349494,2036,1538,186,"Civilian at Auqaf Market, India",2121,533,1414,7,21,1999
107,Guwahati,26.179222,91.753346,2036,368,43,"Bridge in Guwahati, India",2121,674,1414,7,22,1999
108,Guwahati,26.179222,91.753346,2036,368,43,"Bridge in Guwahati, India",2121,674,1414,7,22,1999
109,Anantnag,33.733336,75.148983,2036,786,171,"Anantnag Police Patrol near a bus stand in Anantnag, India",2121,533,1414,7,24,1999
110,Karbi Anglong District,25.960734,93.497468,1514,313,66,"Assam Police in Karbi Anglong District, India",1813,1564,1414,7,27,1999
111,Humahama,33.778175,76.576171,2036,786,433,"Special Task Force of the Jammu and Kashmir Police Force at Humahama, India",2121,43,1414,7,29,1999
112,Unknown,10.850516,76.271083,33,66,19,Archbishop Mar Jacob Thoomkuzhy and an assisting priest.,7,403,1414,8,2,1999
113,Guwahati,26.179222,91.753346,592,417,18,"Gautam Roy, Manager of Chandighat Tea Estate",1813,1564,23,8,3,1999
114,Guwahati,26.179222,91.753346,592,417,18,"J. Sharma, Assistant Manager of Baladhan division of Burthol Tea Estate",1813,1564,23,8,4,1999
115,Kotkapura,30.580791,74.824222,592,1538,186,19-year-old son of Mr. Desa Singh Monga,1813,1564,1,8,5,1999
116,Chaki Natnusa,34.426355,74.322821,1514,313,63,"A Rashtriya Rifles post in Check-Natnusa village, India",2121,43,88,8,6,1999
117,Dhalai district,23.846698,91.909924,592,9,7,"Four office-holders of the Rashtriya Swayamsevak Sangh: Shyamal Sengupta, Sudhamay Dutta, Dinendra Dey and Shubaken Chakravarty",371,403,62,8,6,1999
118,Kupwara,34.526179,74.254614,1514,313,18,"Army jeep in Kupwara, India",1813,1564,88,8,7,1999
119,Bijni,26.49598,90.702507,2036,1538,447,Civilians on a passenger train traveling between Bijni and Patilidaha stations,2121,674,238,8,7,1999
120,Bijni,26.49598,90.702507,2036,1538,447,Civilians on a passenger train traveling between Bijni and Patilidaha stations,2121,674,238,8,7,1999
121,Trehgam,34.514753,74.173172,2036,313,63,"Army camp in Trehgam, India",2121,43,1414,8,8,1999
122,Salakati,26.442601,90.353772,2036,368,205,New Delhi-Guwahati Rajdhani Express travelling between Salakati and Kokrajhar,2121,674,1414,8,9,1999
123,Sonitpor district,26.678779,92.857672,2036,313,77,"Soldiers in Sonitpur district, India",2121,674,106,8,11,1999
124,Manasbal,34.256142,74.676269,2036,313,63,"Army camp at Manasbal, India",2121,43,1414,8,14,1999
125,Pahalgam,34.016075,75.31498,2036,313,63,"Army camp at Valgam, India",2121,43,1414,8,14,1999
126,Magam,34.091914,74.589914,2036,313,63,"Army camp at Magam, India",2121,43,1414,8,14,1999
127,Rajpora,33.822873,74.853637,2036,313,63,"Army camp at Rajpora, India",2121,43,1414,8,14,1999
128,Devar Lolab,34.455549,74.449553,2036,313,77,"Soldiers in the Devar-Lolab area of Kupwara district, India",2121,43,1414,8,14,1999
129,Chenani,33.035542,75.285157,2036,786,164,"Police Station in Chenani, India",2121,43,100,8,15,1999
130,Chenani,33.035542,75.285157,2036,786,171,"Police vehicle in Chenani, India",2121,265,100,8,15,1999
131,Cachar District,24.801749,92.944764,592,417,18,Pathimara Tea Estate Assistant Manager Rajat Banerjee,1813,1564,23,8,3,1999
132,Nalbari District,26.44174,91.393395,592,417,18,Two tea executives of the Fatemabad Tea Estate in Nalbari District,1813,1564,23,8,3,1999
133,Manu,23.997294,91.9906,592,876,296,"State government officials, including 12 rural body secretaries",1813,1564,62,9,6,1999
134,Doda,33.14575,75.548049,2036,86,73,Members,2121,533,1414,9,9,1999
135,Tangmang,34.05998,74.424533,2036,313,66,"Indian Border Police jeep in Tangmang, India",2121,674,1414,9,15,1999
136,Laudara,33.778175,76.576171,2036,313,66,"Indian Border Police in Laudara, India",2121,674,1414,9,16,1999
137,Deepkarhar,25.096074,85.313119,2036,876,296,"Poll officials in Deepkarhar, India",2121,265,1414,9,25,1999
138,Sursand District,26.644216,85.720507,1514,86,73,Supporter,1813,1564,8,9,25,1999
139,Pastun,33.992222,75.075833,200,876,315,Peerzada Abdul Hamid,2121,265,1414,9,26,1999
140,Unknown,23.940848,91.988153,1514,313,66,"Border security forces in Tripura, India",1813,1564,62,9,26,1999
141,Srinagar,34.083658,74.797368,1514,876,143,Srinagar State Government building,2121,43,2,9,29,1999
142,Unknown,26.275268,92.953375,2036,313,86,Indian Security Forces on patrol in Assam,2121,80,92,10,2,1999
143,Kolkata,22.572646,88.363895,2036,876,101,A school to be used as a polling station in Calcutta,2121,674,92,10,2,1999
144,Tinsukia District,27.491929,95.347833,2036,786,433,Central Reserve Police Force on duty in Upper Assam's Tinsukia district,2121,315,238,10,2,1999
145,Kachugaon,26.37931,90.025394,437,876,101,Polling Station Number 88 in Kachugaon,371,403,8,10,2,1999
146,Henglep,24.48338,93.52365,127,313,86,Indian Security Forces on patrol on poll duty in Henglep,371,403,92,10,2,1999
147,Nagaon District,26.236916,92.608133,200,876,315,"Kamal Nath, leader of Asom Gana Parishad (AGP)",1813,1564,238,10,2,1999
148,Kathalguri,27.315444,95.286216,2036,786,433,Central Reserve Police Force checking polling stations,2121,80,1414,10,2,1999
149,Tinsukia District,27.491929,95.347833,2036,786,171,Central Reserve Police Force on patrol in Upper Assam's Tinsukia district,2121,674,238,10,2,1999
150,Barpeta District,26.353393,91.104441,1514,876,101,Polling Station in Barpeta district,1813,180,238,10,3,1999
151,Dhalai District,23.919906,91.850304,1514,313,86,A convoy of Indian Security Forces in Dhalai district,1813,1564,7,10,3,1999
152,Unknown,24.663717,93.906269,1514,876,101,Polling station in Manipur,1813,1564,92,10,3,1999
153,Srinagar,34.083658,74.797368,2036,368,74,An unnamed passenger bus in downtown Srinagar,2121,674,92,10,7,1999
154,Jammu,32.726602,74.857026,2036,1538,78,Raghunath Bazaar in Jammu,2121,674,1414,10,23,1999
155,Srinagar,34.083658,74.797368,1514,313,77,Badamibagh Cantonment,1813,180,100,11,3,1999
156,Kandrori,32.184316,75.669148,2036,368,205,Puja Express Train 2404,2121,674,1414,11,11,1999
157,Kandrori,32.184316,75.669148,2036,368,205,"Puja Express train en route to Jaipur, India",2121,674,1414,11,13,1999
158,Panchavati,19.75148,75.713888,1514,1538,78,"Civilians at a bazaar in Panchavati, India",1813,180,7,11,14,1999
159,Loto,24.105324,83.818132,1514,102,221,People's War Group member and his family,243,181,24,11,18,1999
160,Bangdar,23.940848,91.988153,1514,786,171,"South Tripura police convoy in Bangdar, India",1813,180,62,11,22,1999
161,Srinagar,34.083658,74.797368,2036,876,315,"National Conference Party Headquarters in Srinagar, India",2121,674,1414,11,23,1999
162,Pattan district,34.16047,74.555116,2036,313,63,"Indian Army camp in Nehalpora Pattan, India",2121,80,1414,11,25,1999
163,Srinagar,34.083658,74.797368,2036,313,63,"Army compound in Haft Chinar District in Srinagar, India",2121,533,1414,11,27,1999
164,Bandipora,34.419807,74.63561,1514,876,315,"Mohammad Anwar Sheikh, the senior vice-president of Awami League",1813,1564,29,11,27,1999
165,Kohima district,25.6701,94.1077,200,876,296,"S.C. Jamir, chief minister of Nagaland",1813,1564,1,11,29,1999
166,Krishnanagar,23.401281,88.501557,1514,1538,78,"Civilians in a market in Krishnanagar, India",1813,1564,1,12,6,1999
167,North Tripura district,24.079714,92.263039,1514,1538,78,"Civilians at the market in Sipur, India",1813,1564,62,12,8,1999
168,Rajampet,14.186479,79.151326,2036,368,205,Rajampet Train Station in India,2121,315,61,12,12,1999
169,Patan,23.849325,72.126626,2036,786,164,"Police Station in Patan, India",2121,43,88,12,15,1999
170,Dungiwatcha,34.312414,74.345243,2036,313,66,"24 Rashtriya Rifles camp in Dengiwachi, India.",2121,533,100,12,15,1999
171,Kammarpally,18.835472,78.509532,2036,1538,447,"Civilians in the house of Gopikishan, a leader of the Telegu Desam Party",2121,674,61,12,16,1999
172,Nizamabad District,18.510022,78.295308,2036,876,315,"The home of Dasarath Reddy, Telugu Desam Party member",2121,674,61,12,20,1999
173,Anantnag,33.733336,75.148983,2036,876,296,"Deputy Commissioner's office in Anantnag, Kashmir.",2121,533,1414,12,22,1999
174,Jammu,32.726602,74.857026,2036,368,29,"Civilians in a bus terminal in Jammu, India",2121,674,1414,12,28,1999
175,Srinagar,34.083658,74.797368,1514,786,164,"Police Headquarters in Srinagar, India",2121,533,1414,12,29,1999
176,Udhampur,32.925224,75.135264,1514,786,164,The Central Reserve Police Force 68 battalion camp at Umorha Morh in Udhampur,1813,1564,100,1,1,2000
177,Kakotibari,27.091373,95.023955,2036,47,221,An Oil and Natural Gas Commission pipeline at Kakotibari,2121,61,238,1,1,2000
178,Srinagar,34.083658,74.797368,2036,1538,78,A vegetable market in Srinagar,2121,265,1414,1,3,2000
179,New Delhi,28.632381,77.220004,2036,368,205,A passenger train at the Old Delhi train station,2121,315,1414,1,6,2000
180,Unknown,16.690933,79.567945,2036,876,315,"G. Sukhender Reddy, Telugu Desam Party Member of Parliament",2121,674,61,1,7,2000
181,Kaghaznagar,19.351868,79.481219,2036,786,164,The District Superintendent of Police office,2121,674,61,1,11,2000
182,Khanabal,33.741093,75.129728,1514,313,63,Rashtriya Rifles headquarters in Khannabal,1813,1564,100,1,12,2000
183,Budgam District,34.021244,74.722282,2036,47,20,Power transmission towers in Kashmir,2121,674,100,1,16,2000
184,Jirania,23.826754,91.431903,592,1538,447,Residents in Tripura State,1813,1564,62,1,16,2000
185,Unknown,26.275268,92.953375,2036,368,205,Goods train in Assam,2121,265,1414,1,19,2000
186,Srinagar,34.064508,74.794461,1514,313,63,Batmaloo Indian Army camp in Srinagar,2121,533,92,1,24,2000
187,Doda,33.14575,75.548049,200,876,315,"Muzaffar Hussain Beig, a congress leader",2121,533,1414,1,26,2000
188,Jammu,32.726602,74.857026,2036,876,315,"Muslim legislator from the National Conference party, Javed Shah",2121,43,1414,1,27,2000
189,Jammu,32.726602,74.857026,2036,1538,447,Residents of Jammu,2121,674,1414,1,28,2000
190,Unknown,23.940848,91.988153,592,1538,55,Civilians traveling in a jeep along the Udaipur-Tainani road in Tripura,1813,1564,2,1,31,2000
191,Atharobola,23.610792,91.445885,592,1538,55,Civilians traveling in a jeep at Atharobolla in Tripura,1813,1564,2,1,31,2000
192,Paharpur,23.485379,91.778227,592,1538,447,Civilians on lorries at Paharpur,371,403,62,1,31,2000
193,Gaichta-Dudsunbala,33.778175,76.576171,1514,313,77,"Indian Army soldiers in Gaichta-Dudsunbala, India",1813,1564,1414,2,8,2000
194,Bhaira,23.055626,88.252202,2036,368,205,"Sealdah Express Train in Baira, near Calcutta, India",2121,674,1414,2,10,2000
195,Souch Palpora,34.135101,74.495056,1514,786,433,"Civilian special police, including Ghulam Mohammed Reshi and his daughter, who were aiding counter-insurgency efforts",1813,1564,1,2,10,2000
196,Sumbal,34.230705,74.647311,200,313,86,"Faiyaz Ahmad, commander of a counter-insurgency unit",2121,315,88,2,17,2000
197,Kahlil,33.963889,75.15,2036,786,433,Police Officers in Kashmir,2121,265,92,2,18,2000
198,Bijbehara,33.792909,75.103907,2036,313,66,Border Security Force (BSF) Members in Kashmir,2121,265,92,2,18,2000
199,Tarigonda,13.693315,78.628397,1514,786,164,Police Outpost in Tarakunda,2121,315,61,2,18,2000
200,Bustar,22.973423,78.656894,2036,786,171,Police on Patrol in Bustar,2121,265,61,2,20,2000
201,Madhepura,25.92869,86.790976,33,876,296,"Sharad Yadav, Indian Aviation Minister",243,25,1,2,20,2000
202,Bishramganj,23.843841,91.330052,2036,1538,447,Civilians in Bishram Ganj,382,46,62,2,20,2000
203,Manipur,25.045856,84.0762,1514,313,86,Troops Guarding Polling Places in Manipur,1813,1564,92,2,22,2000
204,New Delhi,28.632381,77.220004,2036,1538,78,"Civilians at the Kailash Guest House in New Delhi, India",2121,674,2,2,27,2000
205,Bahajan,29.786285,79.314867,2036,876,296,"Nagen Sharma, Minister of the Assam Forest and Public Works Department",2121,674,238,2,27,2000
206,Tarkhan Majra,30.615375,76.362281,2036,1538,55,Civilians on board a Delhi-bound private bus,2121,61,1,3,3,2000
207,Kachnar,25.96977,84.359717,200,313,66,"Central paramilitary forces soldiers in Kachnara, India",1813,180,61,3,4,2000
208,Laxmipur,26.719955,84.463206,1514,1538,447,"Civilians in Laxmipur Diara, India",1813,180,34,3,4,2000
209,Badampura,33.778175,76.576171,1514,313,63,"Indian Army Post at Badampura, India",1813,180,1414,3,5,2000
210,Ghatkesar,17.45252,78.683477,200,876,296,E. Madhav Reddy,2121,265,34,3,7,2000
211,Majuli Bargora,27.516807,95.6146,1514,786,433,Majuli Bargora Police Officers,1813,180,238,3,7,2000
212,Bardiha,25.802255,85.556063,2036,313,77,"Garhwa District Soldiers in Bardhia, India",2121,265,61,3,11,2000
213,Thanamandi,33.538588,74.369286,1514,313,63,Thanna Mandi Army Post in India,1813,180,100,3,14,2000
214,New Delhi,28.632381,77.220004,2036,1538,78,Civilians shopping in the Sadar Bazar district in New Delhi,2121,315,1414,3,16,2000
215,Srinagar,34.083658,74.797368,2036,25,3,Srinagar Television Center,2121,533,1414,3,18,2000
216,Chadisinghpoora,33.778175,76.576171,1514,1538,447,"Civilians in Chadisinghpoora, India",1813,180,100,3,21,2000
217,Cuddalore,11.756356,79.763486,2036,368,205,A railway track near Cuddalore,2121,674,2,3,0,2000
218,Kot Budha,31.866771,75.339792,1514,1538,186,"Members of the Fateh Mohd Gujjar family in Kot Budhan, India",1813,1564,1414,3,24,2000
219,Hyderabad,17.376812,78.487812,2036,876,12,"Civil Court in Hyderabad, India",2121,674,1414,4,5,2000
220,Unknown,23.940848,91.988153,592,876,315,Family members of Left Front candidates,371,403,62,4,9,2000
221,Unknown,23.940848,91.988153,592,876,315,Family members of Left Front candidates,371,403,62,4,9,2000
222,Jampui,23.934847,92.277519,592,876,315,Family members of Left Front candidates,371,403,62,4,9,2000
223,Unknown,23.940848,91.988153,592,876,315,Family members of Left Front candidates,371,403,62,4,9,2000
224,Unknown,23.940848,91.988153,592,876,315,Family members of Left Front candidates,1813,1564,62,4,9,2000
225,Belbari,23.790546,91.469337,592,876,315,Family members of Left Front candidates,371,403,62,4,9,2000
226,Rawalpora,34.025935,74.797458,2036,313,86,"Convoy of Army vehicles carrying army personnel at Rawalpora bypass on the outskirts of Srinagar, Jammu and Kashmir, India",2121,75,1414,4,12,2000
227,Srinagar,34.083658,74.797368,2036,25,3,Radio Kashmir Srinagar (RKS) building in India,2121,674,1414,4,15,2000
228,Sopore,34.279614,74.450684,2036,313,63,"Indian Army? 15 Corps headquarters in Badami Bagh, India",2121,75,18,4,19,2000
229,Sopore,34.286763,74.462401,2036,313,86,"Army convoy passing through Sopore, India",2121,533,1414,4,19,2000
230,Laxmipur,23.955541,92.218748,1514,1538,447,Begali villagers in Laxmipur village,1813,180,62,4,19,2000
231,Khoiphuta,26.257281,93.012702,1514,1538,266,Migrant laborers in Karbi territory,1813,1564,3,4,24,2000
232,Chak Mohammad Yar,32.587222,74.76,2036,1538,447,"Civilians in Chak Mohd Yar, India",2121,61,1414,4,26,2000
233,Sher Bagh,34.010186,74.4848,2036,786,9,"Police checkpoint in Sher Bagh, India",2121,315,1414,4,28,2000
234,Anantnag,33.733336,75.148983,2036,786,171,"Police patrol in Anantnag, India",2121,533,1414,4,28,2000
235,Mohanpur,23.9654,91.37104,1514,1538,66,Bengali settlers,1813,1564,62,5,1,2000
